job_role,years_experience,location_tier,num_skills,education_level,num_certifications,salary
Marketing Executive,2,2,7,B.Tech,0,7.13
Marketing Executive,0,1,4,B.Tech,1,4.92
Frontend Developer,1,2,7,MCA,1,7.0
Frontend Developer,0,2,10,MCA,0,5.99
UX Designer,1,1,12,MCA,0,8.62
Business Analyst,1,1,4,B.Tech,0,6.04
UX Designer,0,1,4,MCA,1,6.74
Frontend Developer,0,1,4,B.Sc,2,6.58
UX Designer,0,1,4,B.Sc,0,4.92
Systems Analyst,2,2,5,MCA,0,7.2
Business Analyst,3,1,5,B.Tech,1,9.6
DevOps Engineer,1,1,9,B.Tech,2,8.82
Marketing Executive,2,1,11,B.Sc,1,9.13
Systems Analyst,0,1,8,M.Tech,1,6.87
Systems Analyst,1,3,8,M.Tech,1,6.53
Java Developer,0,2,7,MCA,0,5.06
ML Engineer,1,1,7,M.Tech,2,9.84
Systems Analyst,0,1,7,MCA,1,6.7
Data Scientist,2,1,10,M.Sc,0,11.55
DevOps Engineer,2,2,4,B.Tech,1,9.61
Marketing Executive,1,1,8,M.Sc,2,7.11
Business Analyst,3,2,12,MCA,0,10.22
Systems Analyst,1,2,8,B.Sc,1,7.65
Data Scientist,0,3,10,MCA,1,6.87
DevOps Engineer,2,1,12,MCA,0,10.61
Marketing Executive,3,2,5,B.Sc,0,7.54
Marketing Executive,1,1,10,B.Sc,1,8.39
Mechanical Design Engineer,0,1,7,MCA,0,5.15
Marketing Executive,3,1,10,B.Sc,0,11.08
Marketing Executive,1,1,4,MCA,0,7.07
Marketing Executive,0,1,4,B.Tech,0,5.42
Systems Analyst,1,1,4,M.Tech,0,7.92
UX Designer,0,2,6,M.Tech,1,5.32
Data Scientist,0,1,9,M.Tech,1,8.03
Java Developer,3,2,9,M.Tech,0,9.02
Java Developer,1,1,12,B.Sc,0,7.8
ML Engineer,2,1,5,MCA,1,12.8
DevOps Engineer,0,2,9,B.Tech,1,7.46
DevOps Engineer,3,1,5,B.Sc,0,11.62
ML Engineer,0,2,6,B.Sc,0,6.78
DevOps Engineer,3,2,4,M.Sc,0,10.89
Java Developer,1,1,4,M.Tech,0,7.75
UX Designer,3,2,7,B.Sc,0,8.77
Mechanical Design Engineer,0,1,6,B.Tech,0,5.63
Frontend Developer,0,3,4,B.Sc,0,4.06
Java Developer,3,3,12,M.Tech,0,9.13
Systems Analyst,0,2,12,B.Tech,0,6.51
Data Scientist,1,2,11,MCA,0,9.23
ML Engineer,0,1,4,MCA,2,8.62
Frontend Developer,1,1,12,M.Sc,1,8.27
DevOps Engineer,3,2,10,B.Sc,0,11.55
ML Engineer,1,1,7,M.Sc,1,9.5
Data Scientist,0,1,7,B.Sc,1,7.24
Marketing Executive,0,1,5,M.Tech,1,6.2
Systems Analyst,0,1,10,MCA,0,6.01
Systems Analyst,1,1,8,M.Sc,0,8.18
Systems Analyst,0,1,10,M.Sc,0,6.01
Frontend Developer,2,2,6,B.Sc,1,7.88
Java Developer,1,1,11,M.Tech,0,9.14
Frontend Developer,0,2,8,MCA,0,5.56
Data Scientist,0,1,7,B.Sc,0,7.82
Frontend Developer,1,3,12,M.Tech,0,7.37
Java Developer,0,1,11,M.Tech,0,7.58
Data Scientist,1,2,7,B.Sc,1,7.63
ML Engineer,0,1,8,MCA,1,8.92
Marketing Executive,0,2,12,M.Tech,1,5.32
Mechanical Design Engineer,0,2,8,B.Sc,1,4.67
Java Developer,2,2,9,M.Tech,1,9.02
Mechanical Design Engineer,0,1,4,MCA,1,6.03
DevOps Engineer,3,2,7,M.Sc,0,10.94
Systems Analyst,0,2,8,M.Sc,1,5.82
Data Scientist,1,3,7,M.Sc,2,8.92
DevOps Engineer,0,2,5,M.Sc,0,5.16
Java Developer,2,1,10,M.Tech,1,10.43
Java Developer,0,1,8,B.Tech,1,6.56
Data Scientist,0,3,7,M.Sc,2,7.09
Systems Analyst,1,2,5,B.Tech,0,6.81
Systems Analyst,0,3,11,M.Sc,0,5.0
Frontend Developer,0,1,8,M.Tech,0,6.5
Java Developer,0,1,12,B.Sc,2,7.01
Systems Analyst,0,2,10,MCA,0,5.48
UX Designer,2,1,7,B.Tech,0,8.96
UX Designer,0,1,11,B.Tech,0,7.73
Java Developer,1,1,10,M.Tech,1,9.41
Business Analyst,1,1,4,M.Tech,0,6.35
Business Analyst,1,2,10,MCA,0,6.98
Java Developer,2,3,4,B.Sc,0,6.42
Data Scientist,0,1,4,B.Sc,0,7.58
Marketing Executive,1,1,8,MCA,1,7.18
Java Developer,0,3,4,B.Tech,1,4.5
Frontend Developer,1,3,12,MCA,0,7.25
Systems Analyst,2,2,9,B.Tech,0,8.68
Frontend Developer,1,1,10,MCA,1,8.96
Data Scientist,2,2,12,B.Tech,2,11.29
ML Engineer,0,1,9,B.Tech,0,9.27
Systems Analyst,3,2,9,B.Sc,1,10.55
ML Engineer,1,1,6,MCA,0,8.9
Systems Analyst,2,1,11,B.Sc,0,9.9
DevOps Engineer,1,2,10,MCA,2,9.5
Marketing Executive,0,1,12,M.Sc,1,6.83
Business Analyst,2,3,4,B.Tech,1,7.94
Mechanical Design Engineer,0,1,5,B.Sc,1,6.03
DevOps Engineer,2,2,4,M.Tech,0,9.86
Marketing Executive,1,2,11,M.Tech,1,7.57
Data Scientist,2,3,4,B.Tech,2,9.78
Frontend Developer,1,1,5,M.Tech,0,7.8
Marketing Executive,1,2,4,B.Sc,2,5.72
UX Designer,0,1,7,B.Tech,1,6.5
ML Engineer,1,1,8,M.Tech,0,9.25
UX Designer,2,1,12,MCA,2,11.71
DevOps Engineer,0,1,9,M.Sc,0,7.4
DevOps Engineer,1,3,9,B.Sc,0,6.8
Frontend Developer,2,1,11,M.Sc,0,9.56
UX Designer,2,1,11,B.Tech,0,8.84
Systems Analyst,0,1,4,MCA,0,6.04
Mechanical Design Engineer,3,2,12,M.Tech,1,12.17
Data Scientist,2,1,5,MCA,1,10.8
Business Analyst,0,1,11,M.Tech,0,6.14
UX Designer,0,3,11,M.Sc,0,5.12
Marketing Executive,3,1,6,M.Tech,1,10.77
ML Engineer,3,1,6,B.Tech,0,11.76
DevOps Engineer,0,1,10,M.Sc,1,7.84
Systems Analyst,3,1,11,MCA,1,10.81
Data Scientist,0,1,9,B.Sc,2,8.14
UX Designer,2,1,4,M.Sc,0,9.0
Frontend Developer,0,1,7,B.Tech,1,6.09
Java Developer,0,2,4,M.Tech,1,5.27
Java Developer,1,2,9,B.Tech,1,8.01
Data Scientist,1,1,4,MCA,1,9.31
DevOps Engineer,1,1,6,B.Tech,1,9.4
Business Analyst,0,3,11,MCA,0,4.61
Frontend Developer,0,1,6,B.Sc,0,5.66
Frontend Developer,1,1,6,B.Tech,2,9.35
Marketing Executive,2,1,8,M.Sc,0,8.31
Systems Analyst,0,2,5,MCA,1,5.84
Frontend Developer,1,2,7,M.Tech,0,6.92
Frontend Developer,2,2,7,B.Sc,0,8.1
Marketing Executive,0,2,6,M.Tech,1,4.62
Java Developer,1,2,6,B.Tech,0,5.59
Business Analyst,0,2,4,M.Tech,2,4.81
Systems Analyst,1,1,7,MCA,1,8.59
Business Analyst,0,3,7,M.Sc,0,3.73
Java Developer,1,2,7,M.Tech,0,7.15
Java Developer,1,1,4,MCA,0,6.48
Frontend Developer,0,1,6,B.Sc,0,6.01
Mechanical Design Engineer,2,1,8,MCA,0,8.06
Java Developer,1,1,10,M.Sc,0,7.94
Java Developer,0,2,11,B.Sc,1,5.13
Business Analyst,2,2,5,B.Sc,1,7.92
Systems Analyst,0,2,11,M.Tech,0,6.47
Data Scientist,2,2,7,B.Sc,2,9.28
Mechanical Design Engineer,0,2,5,B.Tech,0,4.87
Business Analyst,1,1,10,M.Tech,0,8.2
UX Designer,0,1,6,M.Tech,0,6.03
Business Analyst,3,1,9,M.Sc,1,10.17
UX Designer,0,2,8,B.Tech,1,5.33
UX Designer,0,1,9,M.Sc,0,6.36
DevOps Engineer,1,1,4,M.Tech,1,8.21
Systems Analyst,1,1,10,M.Sc,2,9.33
Business Analyst,3,1,9,M.Tech,0,10.52
Business Analyst,0,1,9,MCA,0,6.16
DevOps Engineer,0,1,12,B.Tech,1,9.15
Mechanical Design Engineer,0,1,8,M.Sc,1,6.09
Business Analyst,0,1,11,M.Tech,2,7.28
DevOps Engineer,1,1,7,B.Sc,1,8.91
Marketing Executive,0,1,8,B.Tech,2,6.58
Systems Analyst,0,2,8,M.Tech,2,5.83
Mechanical Design Engineer,0,2,9,B.Sc,1,5.45
ML Engineer,2,1,10,M.Sc,1,11.35
Java Developer,0,1,12,B.Sc,0,6.41
Marketing Executive,0,2,12,B.Tech,0,4.81
Data Scientist,0,1,6,M.Sc,0,6.92
Data Scientist,0,1,5,MCA,0,6.85
ML Engineer,1,1,8,M.Sc,0,9.71
Java Developer,1,1,6,M.Sc,1,7.72
DevOps Engineer,0,1,5,M.Tech,0,7.73
DevOps Engineer,0,1,7,MCA,0,6.5
UX Designer,3,1,11,M.Tech,0,12.26
Marketing Executive,1,1,6,B.Tech,0,7.07
Systems Analyst,1,1,10,M.Tech,0,8.51
Business Analyst,2,2,5,M.Tech,1,8.0
Java Developer,3,1,8,B.Tech,1,11.0
Data Scientist,0,1,4,M.Sc,1,6.76
DevOps Engineer,0,1,10,B.Tech,1,7.35
Data Scientist,1,2,9,M.Sc,0,8.97
ML Engineer,0,1,5,M.Sc,1,8.03
Mechanical Design Engineer,0,3,4,M.Tech,0,3.94
UX Designer,0,1,4,M.Sc,1,5.49
Frontend Developer,1,1,7,MCA,0,6.93
Java Developer,2,1,4,MCA,2,9.78
Systems Analyst,1,2,10,M.Tech,2,7.88
Data Scientist,1,1,6,B.Tech,2,9.2
Mechanical Design Engineer,0,1,6,B.Sc,0,4.63
ML Engineer,1,1,4,B.Tech,1,9.64
Business Analyst,0,1,12,MCA,0,6.61
ML Engineer,0,1,11,M.Tech,0,8.48
ML Engineer,1,2,7,B.Sc,1,7.94
Java Developer,2,1,12,M.Tech,0,9.25
Data Scientist,0,1,11,M.Sc,0,7.58
Business Analyst,0,1,7,MCA,0,6.2
Marketing Executive,0,1,7,B.Sc,1,4.83
Mechanical Design Engineer,0,1,12,M.Sc,0,6.55
Business Analyst,0,1,11,MCA,1,7.22
Business Analyst,1,1,5,B.Tech,0,7.31
Business Analyst,0,2,6,B.Tech,0,5.14
Mechanical Design Engineer,0,1,10,M.Tech,1,6.83
Mechanical Design Engineer,0,1,9,MCA,0,6.18
Java Developer,1,2,12,B.Tech,0,7.39
ML Engineer,1,3,12,M.Sc,1,9.27
Marketing Executive,3,1,11,M.Tech,2,12.69
Mechanical Design Engineer,0,1,5,B.Tech,1,6.42
Java Developer,3,2,9,M.Sc,0,10.13
Java Developer,2,2,6,B.Sc,1,8.41
Business Analyst,1,1,5,M.Sc,1,6.91
ML Engineer,0,1,10,B.Tech,1,9.45
Java Developer,1,1,6,MCA,1,7.73
Java Developer,1,1,8,B.Tech,2,7.9
Data Scientist,1,3,4,M.Sc,0,6.83
Marketing Executive,1,1,8,MCA,0,8.02
Data Scientist,0,1,6,B.Sc,0,6.41
Frontend Developer,0,1,12,B.Sc,0,6.14
UX Designer,0,1,7,M.Sc,1,6.94
Java Developer,0,2,5,M.Sc,1,4.74
Mechanical Design Engineer,3,1,12,MCA,1,12.79
Data Scientist,0,1,8,B.Tech,0,7.17
DevOps Engineer,0,2,4,B.Tech,1,5.63
ML Engineer,1,2,11,M.Sc,0,8.93
ML Engineer,1,2,6,MCA,1,8.52
Systems Analyst,2,2,10,B.Tech,0,8.6
Mechanical Design Engineer,0,2,10,M.Tech,0,5.51
Java Developer,1,2,11,M.Sc,0,7.33
UX Designer,0,1,5,MCA,0,5.69
Systems Analyst,1,1,6,MCA,0,6.8
Mechanical Design Engineer,0,1,10,MCA,1,6.56
ML Engineer,0,1,10,B.Tech,1,9.52
DevOps Engineer,0,2,9,B.Tech,0,6.07
Frontend Developer,0,1,12,M.Sc,0,6.1
Business Analyst,1,2,12,B.Sc,0,7.2
Marketing Executive,2,1,8,B.Tech,0,8.03
Systems Analyst,0,2,12,MCA,0,6.04
Mechanical Design Engineer,1,1,8,MCA,2,7.88
UX Designer,1,1,8,M.Sc,0,8.42
Java Developer,2,1,8,B.Tech,1,9.49
ML Engineer,1,1,10,M.Tech,0,10.78
Marketing Executive,0,2,4,M.Sc,0,3.45
Java Developer,0,1,6,M.Tech,0,6.1
Frontend Developer,1,2,5,M.Sc,0,6.66
UX Designer,0,1,7,B.Tech,1,6.24
Data Scientist,3,2,8,M.Sc,0,10.99
Data Scientist,0,2,12,B.Tech,1,7.98
DevOps Engineer,2,3,12,M.Tech,1,9.33
DevOps Engineer,2,1,9,M.Tech,0,10.68
Frontend Developer,0,2,8,M.Sc,1,5.39
Business Analyst,0,2,8,M.Sc,1,4.96
Data Scientist,0,2,12,M.Tech,0,8.38
UX Designer,2,2,6,M.Tech,0,9.27
Mechanical Design Engineer,2,1,6,M.Sc,0,8.14
Mechanical Design Engineer,1,1,7,M.Tech,1,7.36
Systems Analyst,1,1,6,B.Tech,1,7.78
Marketing Executive,2,1,5,MCA,1,9.36
Data Scientist,0,2,4,MCA,1,6.63
Business Analyst,0,3,9,M.Sc,1,4.88
Data Scientist,1,2,12,MCA,0,8.15
Data Scientist,1,2,9,B.Sc,0,7.58
Systems Analyst,0,1,12,B.Sc,2,7.79
Marketing Executive,2,2,8,MCA,1,8.73
Java Developer,1,1,12,M.Sc,1,8.63
Systems Analyst,3,1,10,M.Tech,2,13.02
Java Developer,0,2,5,M.Tech,1,4.84
Java Developer,3,3,7,B.Sc,0,7.64
UX Designer,2,1,4,M.Sc,0,8.66
UX Designer,1,1,5,M.Tech,0,7.56
Marketing Executive,3,2,10,B.Tech,1,9.2
Systems Analyst,0,1,11,B.Sc,1,6.17
Systems Analyst,1,2,11,M.Tech,0,6.82
Marketing Executive,2,2,8,B.Sc,0,7.77
DevOps Engineer,1,2,9,M.Tech,2,9.49
Frontend Developer,0,1,4,M.Sc,0,5.42
Data Scientist,0,1,8,MCA,0,8.14
Mechanical Design Engineer,2,1,12,B.Sc,1,8.88
Java Developer,2,1,7,MCA,1,9.07
Java Developer,1,1,5,B.Sc,1,6.78
Data Scientist,0,2,9,MCA,1,8.25
Marketing Executive,2,1,11,M.Tech,0,8.79
Business Analyst,1,1,6,M.Tech,0,8.25
Frontend Developer,0,1,7,M.Tech,1,7.59
ML Engineer,1,1,11,M.Sc,0,9.59
Java Developer,2,2,5,MCA,1,8.05
Business Analyst,2,2,8,M.Tech,0,7.33
Java Developer,1,2,12,B.Tech,0,7.34
Mechanical Design Engineer,0,1,10,M.Sc,0,5.39
Marketing Executive,1,1,10,M.Sc,0,6.43
Java Developer,0,1,7,B.Tech,0,5.72
DevOps Engineer,0,1,11,MCA,0,6.73
Business Analyst,2,1,6,B.Tech,0,7.88
DevOps Engineer,0,1,11,MCA,0,8.29
Marketing Executive,2,1,7,MCA,1,8.99
Frontend Developer,1,1,10,MCA,2,8.43
ML Engineer,1,2,9,M.Sc,1,9.61
Frontend Developer,1,1,4,B.Sc,0,6.74
Systems Analyst,1,1,9,MCA,0,8.86
Mechanical Design Engineer,1,1,12,M.Sc,1,7.92
Mechanical Design Engineer,2,1,6,M.Tech,1,9.35
Systems Analyst,3,1,11,M.Sc,1,12.32
Data Scientist,0,1,4,M.Sc,2,8.2
Business Analyst,1,1,4,B.Sc,0,6.49
Marketing Executive,0,2,4,MCA,1,4.38
Systems Analyst,0,1,8,B.Sc,0,6.59
Marketing Executive,2,1,7,B.Tech,1,8.21
Business Analyst,3,2,9,MCA,1,10.62
Business Analyst,1,1,9,B.Sc,0,6.38
Java Developer,3,3,5,MCA,0,8.9
Frontend Developer,0,3,7,M.Sc,0,4.74
ML Engineer,0,1,5,MCA,1,8.56
Mechanical Design Engineer,0,1,7,MCA,1,6.16
Systems Analyst,1,1,4,MCA,1,8.61
Business Analyst,2,2,5,B.Sc,0,7.2
Systems Analyst,3,2,9,B.Sc,2,11.57
Marketing Executive,3,1,4,M.Sc,0,9.66
Systems Analyst,0,1,11,M.Tech,1,6.76
ML Engineer,1,1,12,M.Tech,1,11.71
ML Engineer,2,2,4,M.Sc,1,10.15
Frontend Developer,1,1,8,M.Sc,0,7.5
Frontend Developer,3,1,10,B.Sc,0,10.26
Data Scientist,1,2,11,B.Sc,1,8.57
DevOps Engineer,1,1,10,MCA,0,9.74
Frontend Developer,3,1,6,B.Tech,1,11.52
UX Designer,0,1,12,B.Tech,1,6.95
Java Developer,3,2,9,B.Sc,0,9.86
Business Analyst,0,1,6,MCA,2,6.31
Frontend Developer,2,1,7,B.Sc,1,8.29
Marketing Executive,3,1,9,MCA,0,9.84
Business Analyst,0,2,5,MCA,1,4.56
Java Developer,3,1,9,M.Sc,0,9.74
UX Designer,0,1,5,M.Sc,1,5.58
Marketing Executive,1,2,6,B.Tech,0,5.48
DevOps Engineer,1,1,12,B.Tech,0,10.01
Business Analyst,0,1,6,MCA,1,6.46
Java Developer,1,1,10,M.Tech,1,8.48
Data Scientist,2,1,7,M.Tech,0,11.96
Systems Analyst,1,2,12,M.Tech,1,7.91
UX Designer,3,3,6,B.Tech,1,9.66
Data Scientist,0,1,5,MCA,0,7.23
Business Analyst,0,1,8,MCA,1,6.71
ML Engineer,1,3,9,B.Sc,0,8.15
Mechanical Design Engineer,0,1,6,M.Tech,0,5.71
Marketing Executive,1,1,12,MCA,1,7.27
Systems Analyst,0,3,6,MCA,0,4.77
Marketing Executive,1,2,12,MCA,0,6.82
Data Scientist,0,2,9,M.Tech,0,7.52
Data Scientist,0,2,12,M.Sc,1,7.22
Mechanical Design Engineer,0,1,5,M.Tech,2,7.38
Systems Analyst,0,1,8,B.Sc,0,6.62
DevOps Engineer,0,1,7,MCA,1,6.98
Marketing Executive,0,2,8,B.Sc,0,3.94
Systems Analyst,2,1,9,B.Tech,0,10.55
UX Designer,0,1,9,B.Sc,0,6.51
Data Scientist,0,2,10,M.Tech,1,8.28
UX Designer,0,1,12,B.Tech,2,7.61
Frontend Developer,0,1,8,B.Tech,0,5.8
Frontend Developer,2,2,11,B.Tech,1,9.41
Data Scientist,0,2,6,M.Sc,2,7.09
Java Developer,0,1,12,B.Sc,0,5.98
Data Scientist,0,3,9,M.Tech,2,6.94
Java Developer,0,1,10,B.Sc,0,5.64
Frontend Developer,2,3,11,M.Sc,0,8.91
Systems Analyst,1,1,7,M.Sc,1,8.01
Systems Analyst,0,1,5,M.Tech,2,7.01
UX Designer,0,1,9,B.Sc,0,6.52
Marketing Executive,0,1,11,B.Sc,1,5.4
DevOps Engineer,2,2,12,M.Sc,0,9.14
Marketing Executive,0,1,11,B.Tech,1,7.15
DevOps Engineer,2,1,8,M.Tech,1,10.84
Marketing Executive,2,1,12,M.Tech,1,9.03
UX Designer,3,1,5,M.Tech,1,9.95
DevOps Engineer,3,1,5,MCA,0,11.46
UX Designer,0,1,6,M.Sc,0,5.44
ML Engineer,0,1,6,M.Tech,1,8.17
Systems Analyst,0,3,10,MCA,0,4.66
ML Engineer,0,1,10,B.Sc,1,8.32
Data Scientist,0,1,9,B.Sc,1,7.33
Frontend Developer,3,1,5,M.Tech,0,9.71
UX Designer,3,1,11,B.Sc,1,12.21
Business Analyst,1,1,4,B.Sc,0,6.9
Java Developer,2,2,10,B.Sc,2,8.53
Mechanical Design Engineer,1,2,6,MCA,0,6.35
Marketing Executive,1,1,7,M.Sc,0,7.4
Frontend Developer,0,2,9,M.Sc,1,5.63
Business Analyst,1,1,5,MCA,0,7.22
Systems Analyst,0,1,5,M.Sc,0,5.96
ML Engineer,2,1,7,B.Sc,1,11.22
Data Scientist,0,3,6,B.Tech,0,6.21
Frontend Developer,1,2,6,MCA,1,6.56
Java Developer,0,3,11,M.Sc,1,4.54
Frontend Developer,0,1,10,B.Tech,2,7.42
Marketing Executive,2,1,10,M.Tech,0,8.78
Marketing Executive,0,1,9,B.Sc,0,5.46
Java Developer,0,1,10,B.Tech,0,7.06
UX Designer,2,2,7,MCA,0,7.62
DevOps Engineer,1,1,9,M.Tech,0,9.62
Data Scientist,0,1,11,M.Sc,1,8.06
Mechanical Design Engineer,1,1,12,MCA,0,7.83
Data Scientist,0,1,12,MCA,0,8.57
ML Engineer,0,2,10,B.Tech,1,7.96
Business Analyst,2,1,12,MCA,0,8.78
Mechanical Design Engineer,1,2,8,MCA,0,6.22
Mechanical Design Engineer,0,1,4,B.Sc,0,4.76
UX Designer,1,1,8,M.Tech,1,9.07
Marketing Executive,3,1,12,B.Sc,0,10.52
Business Analyst,0,1,5,B.Sc,2,5.61
DevOps Engineer,0,2,9,M.Tech,0,6.0
Mechanical Design Engineer,1,1,10,B.Tech,0,7.25
Java Developer,2,2,12,B.Sc,1,8.0
DevOps Engineer,0,3,10,B.Sc,0,5.77
